"variable_name","source_file","detected_category","allowed_role","forbidden_role","D10_status","D11_boundary_status"
"NFC__TOTAL__net_stock_current_cost","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"NFC__TOTAL__net_stock_quantity_index","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"NFC__TOTAL__official_price_index","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"NFC_COMPENSATION_SHARE_GVA","D10_clean_us_source_of_truth_panel_long.csv","baseline productive-origin variable","BASELINE_ADMISSIBLE","baseline model-ready regressor unless explicitly authorized by D10 metadata","BASELINE_AUTHORIZED","BASELINE_ADMISSIBLE"
"NFC_FINANCIAL_CLAIMS_BURDEN_NOS","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_OR_ROBUSTNESS_CANDIDATE","CANDIDATE_REQUIRES_CROSSWALK"
"NFC_FINANCIAL_CLAIMS_BURDEN_NVA","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_OR_ROBUSTNESS_CANDIDATE","CANDIDATE_REQUIRES_CROSSWALK"
"NFC_NET_INTEREST_MISC_PAYMENTS_PROXY","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_OR_ROBUSTNESS_CANDIDATE","CANDIDATE_REQUIRES_CROSSWALK"
"NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","ROBUSTNESS_CANDIDATE","CANDIDATE_REQUIRES_CROSSWALK"
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_GVA","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","ROBUSTNESS_CANDIDATE","CANDIDATE_REQUIRES_CROSSWALK"
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_NVA","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","ROBUSTNESS_CANDIDATE","CANDIDATE_REQUIRES_CROSSWALK"
"omega_CORP_raw_GVA","D10_clean_us_source_of_truth_panel_long.csv","raw corporate variables","AUTHORIZED_COMPARISON_ONLY","baseline model-ready regressor unless explicitly authorized by D10 metadata","AUTHORIZED_COMPARISON_RAW; NOT_CLEANED; NOT_BASELINE_PRODUCTIVE_ORIGIN; NOT_BASELINE_REGRESSOR","AUTHORIZED_COMPARISON_ONLY"
"omega_CORP_raw_NVA","D10_clean_us_source_of_truth_panel_long.csv","raw corporate variables","AUTHORIZED_COMPARISON_ONLY","baseline model-ready regressor unless explicitly authorized by D10 metadata","AUTHORIZED_COMPARISON_RAW; NOT_CLEANED; NOT_BASELINE_PRODUCTIVE_ORIGIN; NOT_BASELINE_REGRESSOR","AUTHORIZED_COMPARISON_ONLY"
"omega_NFC_productive_origin_GVA","D10_clean_us_source_of_truth_panel_long.csv","baseline productive-origin variable","BASELINE_ADMISSIBLE","baseline model-ready regressor unless explicitly authorized by D10 metadata","BASELINE_AUTHORIZED","BASELINE_ADMISSIBLE"
"pi_NFC_productive_origin_GVA","D10_clean_us_source_of_truth_panel_long.csv","baseline productive-origin variable","BASELINE_ADMISSIBLE","baseline model-ready regressor unless explicitly authorized by D10 metadata","BASELINE_AUTHORIZED","BASELINE_ADMISSIBLE"
"q_omega","metadata_or_ledger","q_omega_or_parked_qomega","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED","BLOCKED_OR_PARKED"
"q_omega_family_columns","metadata_or_ledger","q_omega_or_parked_qomega","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED","BLOCKED_OR_PARKED"
"residential_capital","metadata_or_ledger","residential capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_EXCLUDED_FROM_BASELINE","BLOCKED_OR_PARKED"
"RESIDENTIAL_CAPITAL_MENU","D10_clean_variable_dictionary.csv","residential capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","EXCLUDED_FROM_CHAPTER2_DATASET","BLOCKED_OR_PARKED"
"total_capital","metadata_or_ledger","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_EXCLUDED_FROM_BASELINE","BLOCKED_OR_PARKED"
"total_fixed_assets","metadata_or_ledger","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_EXCLUDED_FROM_BASELINE","BLOCKED_OR_PARKED"
"y_real_nfc_gva_baseline","D10_clean_us_source_of_truth_panel_long.csv","baseline productive-origin variable","BASELINE_ADMISSIBLE","baseline model-ready regressor unless explicitly authorized by D10 metadata","BASELINE_AUTHORIZED","BASELINE_ADMISSIBLE"
"Y_REAL_NFC_GVA_BASELINE","D10_clean_us_source_of_truth_panel_long.csv","baseline productive-origin variable","BASELINE_ADMISSIBLE","baseline model-ready regressor unless explicitly authorized by D10 metadata","BASELINE_AUTHORIZED","BASELINE_ADMISSIBLE"
"Y_REAL_NFC_GVA_BASELINE_D09","D10_clean_us_source_of_truth_panel_long.csv","baseline productive-origin variable","BASELINE_ADMISSIBLE","baseline model-ready regressor unless explicitly authorized by D10 metadata","BASELINE_AUTHORIZED","BASELINE_ADMISSIBLE"
