"variable_name","accounting_layer","D10_status","D11_role","reason","can_enter_D12_baseline_design","can_enter_D12_robustness_design","excluded_from_estimation","required_reconciliation"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"government_transportation","blocked_or_parked","PARKED_EXCLUDED_FROM_BASELINE","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"GPIM_RECONSTRUCTION","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"GROWTH_ARITH_G_TOT","capital","CONDITIONAL_SECONDARY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"GROWTH_ARITH_N_TOT","capital","CONDITIONAL_SECONDARY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"I_TOT_REAL_2017","capital","CONDITIONAL_SECONDARY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"INVENTORIES_MENU","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"IPP","blocked_or_parked","PARKED_EXCLUDED_FROM_BASELINE","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"K_capacity","nfc_productive_origin_baseline","BASELINE_AUTHORIZED","BASELINE_REGRESSOR_CANDIDATE","D10 clean baseline productive-origin variable.","yes","no","no",""
"K_ME","nfc_productive_origin_baseline","BASELINE_AUTHORIZED","BASELINE_REGRESSOR_CANDIDATE","D10 clean baseline productive-origin variable.","yes","no","no",""
"K_NRC","nfc_productive_origin_baseline","BASELINE_AUTHORIZED","BASELINE_REGRESSOR_CANDIDATE","D10 clean baseline productive-origin variable.","yes","no","no",""
"L1_DLOG_G_TOT","capital","CONDITIONAL_SECONDARY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"L1_DLOG_N_TOT","capital","CONDITIONAL_SECONDARY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"L1_LOG_G_TOT","capital","CONDITIONAL_SECONDARY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"L1_LOG_N_TOT","capital","CONDITIONAL_SECONDARY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"LOG_G_TOT_GPIM_2017","nfc_productive_origin_baseline","BASELINE_AUTHORIZED","BASELINE_CONTROL_CANDIDATE","D10 baseline-authorized support variable.","yes","no","no",""
"LOG_I_TOT_REAL_2017","capital","CONDITIONAL_SECONDARY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"LOG_N_TOT_GPIM_2017","capital","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"N_TOT_GPIM_2017","capital","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC__current_transfer_payments","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__current_transfer_receipts","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__dividends_paid","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__dividends_received","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__IPP__cfc_current_cost","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC__IPP__gross_investment_current_cost","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC__IPP__gross_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__IPP__net_stock_current_cost","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC__IPP__net_stock_quantity_index","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC__IPP__official_price_index","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC__IPP__retirements","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__IPP__revaluation_holding_gains","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__ME__gross_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__ME__official_price_index","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC__ME__retirements","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__ME__revaluation_holding_gains","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__NRC__gross_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__NRC__official_price_index","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC__NRC__retirements","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__NRC__revaluation_holding_gains","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__TOTAL__cfc_current_cost","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC__TOTAL__gross_investment_current_cost","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC__TOTAL__gross_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"NFC__TOTAL__net_stock_current_cost","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC__TOTAL__net_stock_quantity_index","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC__TOTAL__official_price_index","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC_COMPENSATION_SHARE_GVA","nfc_productive_origin_baseline","BASELINE_AUTHORIZED","BASELINE_CONTROL_CANDIDATE","D10 baseline-authorized support variable.","yes","no","no",""
"NFC_COMPENSATION_SHARE_NVA","distribution","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC_FINANCIAL_CLAIMS_BURDEN_NOS","financial_imputed_interest_candidate","DIAGNOSTIC_OR_ROBUSTNESS_CANDIDATE","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"NFC_FINANCIAL_CLAIMS_BURDEN_NVA","financial_imputed_interest_candidate","DIAGNOSTIC_OR_ROBUSTNESS_CANDIDATE","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"NFC_NET_INTEREST_MISC_PAYMENTS_PROXY","financial_imputed_interest_candidate","DIAGNOSTIC_OR_ROBUSTNESS_CANDIDATE","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","financial_imputed_interest_candidate","ROBUSTNESS_CANDIDATE","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_GVA","financial_imputed_interest_candidate","ROBUSTNESS_CANDIDATE","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_NVA","financial_imputed_interest_candidate","ROBUSTNESS_CANDIDATE","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"OLD_APPENDIX_6_7_LINE_REPLICATION","blocked_or_parked","BLOCKED","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"omega_CORP_raw_GVA","raw_corporate_comparison","AUTHORIZED_COMPARISON_RAW; NOT_CLEANED; NOT_BASELINE_PRODUCTIVE_ORIGIN; NOT_BASELINE_REGRESSOR","COMPARISON_LAYER_ONLY","Raw corporate comparison object, not baseline productive-origin.","no","yes","yes",""
"omega_CORP_raw_NVA","raw_corporate_comparison","AUTHORIZED_COMPARISON_RAW; NOT_CLEANED; NOT_BASELINE_PRODUCTIVE_ORIGIN; NOT_BASELINE_REGRESSOR","COMPARISON_LAYER_ONLY","Raw corporate comparison object, not baseline productive-origin.","no","yes","yes",""
"omega_NFC_productive_origin_GVA","nfc_productive_origin_baseline","BASELINE_AUTHORIZED","BASELINE_REGRESSOR_CANDIDATE","D10 clean baseline productive-origin variable.","yes","no","no",""
"pi_NFC_productive_origin_GVA","nfc_productive_origin_baseline","BASELINE_AUTHORIZED","BASELINE_REGRESSOR_CANDIDATE","D10 clean baseline productive-origin variable.","yes","no","no",""
"POST_S20_CHAPTER2_STAGES","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"PRODUCTIVE_CAPACITY","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE","blocked_or_parked","BLOCKED","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"q_omega","blocked_or_parked","PARKED","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"q_omega_family_columns","blocked_or_parked","PARKED","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"QWEN_HOUSING_PROXY_PATHS","blocked_or_parked","BLOCKED","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"residential_capital","blocked_or_parked","PARKED_EXCLUDED_FROM_BASELINE","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"RESIDENTIAL_CAPITAL_MENU","contextual","EXCLUDED_FROM_CHAPTER2_DATASET","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"SHINY_APP","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"T711_L28","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"T711_L4","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"T711_L44","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"T711_L52","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"T711_L53","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"T711_L73","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"T711_L74","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"T711_L91","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"THETA_ECONOMETRICS","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"total_capital","blocked_or_parked","PARKED_EXCLUDED_FROM_BASELINE","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"total_fixed_assets","blocked_or_parked","PARKED_EXCLUDED_FROM_BASELINE","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"UTILIZATION","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"y_real_nfc_gva_baseline","nfc_productive_origin_baseline","BASELINE_AUTHORIZED","BASELINE_CONTROL_CANDIDATE","D10 baseline-authorized support variable.","yes","no","no",""
"Y_REAL_NFC_GVA_BASELINE","nfc_productive_origin_baseline","BASELINE_AUTHORIZED","BASELINE_CONTROL_CANDIDATE","D10 baseline-authorized support variable.","yes","no","no",""
"Y_REAL_NFC_GVA_BASELINE_D09","nfc_productive_origin_baseline","BASELINE_AUTHORIZED","BASELINE_DEPENDENT_CANDIDATE","D10 clean baseline productive-origin output.","yes","no","no",""
"y_real_nfc_gva_proxy_business_output","output","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","output","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"y_real_nfc_gva_proxy_gdp_implicit","output","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","output","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","output","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","output","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","output","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","output","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"y_real_nfc_gva_proxy_nonfarm_business_output","output","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","output","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"y_real_nfc_gva_proxy_nonfarm_business_output_bls","output","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","output","ROBUSTNESS_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
