queue_rank,variable_id,display_name,concept_family,construction_family,sector_boundary,account_position,candidate_status,object_admissibility,source_observation_rows,coverage_start,coverage_end,s23_authorization_scope,can_construct_in_s23,can_model_in_s23,required_before_implementation,notes_s23
1,CORP_AFTER_TAX,CORP_profits_after_tax_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
45,CORP__TOTAL__cfc_current_cost,CORP_total_cfc_current_cost,sector_total_diagnostic,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
46,CORP__TOTAL__gross_investment_current_cost,CORP_total_gross_investment_current_cost,sector_total_diagnostic,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
47,CORP__TOTAL__net_stock_current_cost,CORP_total_net_stock_current_cost,sector_total_diagnostic,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
48,CORP__TOTAL__net_stock_quantity_index,CORP_total_net_stock_quantity_index,sector_total_diagnostic,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
49,FIN__TOTAL__cfc_current_cost,FIN_total_cfc_current_cost,sector_total_diagnostic,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
50,FIN__TOTAL__gross_investment_current_cost,FIN_total_gross_investment_current_cost,sector_total_diagnostic,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
51,FIN__TOTAL__net_stock_current_cost,FIN_total_net_stock_current_cost,sector_total_diagnostic,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
52,FIN__TOTAL__net_stock_quantity_index,FIN_total_net_stock_quantity_index,sector_total_diagnostic,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
53,NFC__TOTAL__cfc_current_cost,NFC_total_cfc_current_cost,sector_total_diagnostic,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
54,NFC__TOTAL__gross_investment_current_cost,NFC_total_gross_investment_current_cost,sector_total_diagnostic,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
55,NFC__TOTAL__net_stock_current_cost,NFC_total_net_stock_current_cost,sector_total_diagnostic,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
56,NFC__TOTAL__net_stock_quantity_index,NFC_total_net_stock_quantity_index,sector_total_diagnostic,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
1,DOWNSTREAM__GOV_TRANS_GPIM,GOV_TRANS_GPIM,GOV_TRANS_GPIM,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
2,DOWNSTREAM__IPP_NFC_GPIM,IPP_NFC_GPIM,IPP_NFC_GPIM,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
3,DOWNSTREAM__K_G_NFC_KCAP_GPIM,K_G_NFC_KCAP_GPIM,K_G_NFC_KCAP_GPIM,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
4,DOWNSTREAM__K_G_NFC_ME_GPIM,K_G_NFC_ME_GPIM,K_G_NFC_ME_GPIM,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
5,DOWNSTREAM__K_G_NFC_NRC_GPIM,K_G_NFC_NRC_GPIM,K_G_NFC_NRC_GPIM,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
6,DOWNSTREAM__K_N_NFC_KCAP_GPIM,K_N_NFC_KCAP_GPIM,K_N_NFC_KCAP_GPIM,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
7,DOWNSTREAM__K_N_NFC_ME_GPIM,K_N_NFC_ME_GPIM,K_N_NFC_ME_GPIM,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
8,DOWNSTREAM__K_N_NFC_NRC_GPIM,K_N_NFC_NRC_GPIM,K_N_NFC_NRC_GPIM,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
9,DOWNSTREAM__P_K_NFC_ME_GPIM,P_K_NFC_ME_GPIM,P_K_NFC_ME_GPIM,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
10,DOWNSTREAM__P_K_NFC_NRC_GPIM,P_K_NFC_NRC_GPIM,P_K_NFC_NRC_GPIM,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
11,WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE,Wage Share Unadjusted Nfc Gva Baseline,S20E_stock_flow_labour_value_accounting,provider_source_inputs_other,nonfinancial corporate,conceptual_candidate_status,READY_AS_BASELINE,eligible_for_model_input_preparation_only,1.0,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
12,DOWNSTREAM__e_adj_CORP,e_adj_CORP,e_adj_CORP,provider_source_inputs_other,CORP,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
13,DOWNSTREAM__e_adj_NFC,e_adj_NFC,e_adj_NFC,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
14,DOWNSTREAM__e_x_Kcap,e_x_Kcap,e_x_Kcap,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
15,DOWNSTREAM__e_x_ME,e_x_ME,e_x_ME,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
16,DOWNSTREAM__e_x_ME_NRC_gap,e_x_ME_NRC_gap,e_x_ME_NRC_gap,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
17,DOWNSTREAM__e_x_NRC,e_x_NRC,e_x_NRC,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
18,DOWNSTREAM__ln_e_adj_CORP,ln_e_adj_CORP,ln_e_adj_CORP,provider_source_inputs_other,CORP,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
19,DOWNSTREAM__ln_e_adj_NFC,ln_e_adj_NFC,ln_e_adj_NFC,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
20,DOWNSTREAM__omega_adj_CORP,omega_adj_CORP,omega_adj_CORP,provider_source_inputs_other,CORP,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
21,DOWNSTREAM__omega_adj_NFC,omega_adj_NFC,omega_adj_NFC,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
22,DOWNSTREAM__pi_adj_CORP,pi_adj_CORP,pi_adj_CORP,provider_source_inputs_other,CORP,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
23,DOWNSTREAM__pi_adj_NFC,pi_adj_NFC,pi_adj_NFC,provider_source_inputs_other,NFC,analytical_construction,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
24,T711_L28,BankMonIntPaid_received_financial,shaikh_candidate_semantic_audit_only,provider_source_inputs_other,FIN,imputed_interest,READY_AS_BASELINE,eligible_for_model_input_preparation_only,79.0,1946.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
25,T711_L4,BankMonIntPaid_paid_financial,shaikh_candidate_semantic_audit_only,provider_source_inputs_other,FIN,imputed_interest,READY_AS_BASELINE,eligible_for_model_input_preparation_only,79.0,1946.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
26,T711_L44,BankMonIntPaid_paid_banks_credit_investment,shaikh_candidate_semantic_audit_only,provider_source_inputs_other,FIN,imputed_interest,READY_AS_BASELINE,eligible_for_model_input_preparation_only,79.0,1946.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
27,T711_L52,BankMonIntPaid_paid_state_local,shaikh_candidate_semantic_audit_only,provider_source_inputs_other,CORP_FIN_BOUNDARY,imputed_interest,READY_AS_BASELINE,eligible_for_model_input_preparation_only,79.0,1946.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
28,T711_L53,CorpNFNetImpIntPaid_line53,shaikh_candidate_semantic_audit_only,provider_source_inputs_other,CORP_FIN_BOUNDARY,imputed_interest,READY_AS_BASELINE,eligible_for_model_input_preparation_only,39.0,1986.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
29,T711_L73,BankMonIntPaid_received_federal,shaikh_candidate_semantic_audit_only,provider_source_inputs_other,CORP_FIN_BOUNDARY,imputed_interest,READY_AS_BASELINE,eligible_for_model_input_preparation_only,79.0,1946.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
30,T711_L74,CorpNFNetImpIntPaid_line74,shaikh_candidate_semantic_audit_only,provider_source_inputs_other,CORP_FIN_BOUNDARY,imputed_interest,READY_AS_BASELINE,eligible_for_model_input_preparation_only,79.0,1946.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
31,T711_L91,BankMonIntPaid_paid_government,shaikh_candidate_semantic_audit_only,provider_source_inputs_other,CORP_FIN_BOUNDARY,imputed_interest,READY_AS_BASELINE,eligible_for_model_input_preparation_only,79.0,1946.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
