"variable_id","source_file","source_stage","sector_account_boundary","numerator","denominator","unit","frequency","year_coverage_start","year_coverage_end","finite_observations","adjusted_unadjusted","kind","authorization","s20_support_compatibility","joinable_by_year","candidate_status","evidence"
"DOWNSTREAM__e_adj_CORP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","Shaikh_adjusted_contract_blocked | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
"DOWNSTREAM__e_adj_NFC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","nonfinancial_corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","Shaikh_adjusted_contract_blocked | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
"DOWNSTREAM__ln_e_adj_CORP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","Shaikh_adjusted_contract_blocked | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
"DOWNSTREAM__ln_e_adj_NFC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","nonfinancial_corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","Shaikh_adjusted_contract_blocked | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
"DOWNSTREAM__omega_adj_CORP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","Shaikh_adjusted_contract_blocked | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
"DOWNSTREAM__omega_adj_NFC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","nonfinancial_corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","Shaikh_adjusted_contract_blocked | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
"DOWNSTREAM__pi_adj_CORP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","Shaikh_adjusted_contract_blocked | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
"DOWNSTREAM__pi_adj_NFC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","nonfinancial_corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","Shaikh_adjusted_contract_blocked | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
"e_adj_CORP_t","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","alternative_distributive_proxy_adjusted_variant | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
"e_CORP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","alternative_distribution_proxy","alternative_proxy_pending","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","alternative_distributive_proxy | alternative_proxy_pending | S10 registers candidates but current S20B requires a current attachment contract."
"e_NFC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","nonfinancial_corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","alternative_distribution_proxy","alternative_proxy_pending","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","alternative_distributive_proxy | alternative_proxy_pending | S10 registers candidates but current S20B requires a current attachment contract."
"FIN_COMP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","financial_or_corporate_boundary_diagnostic","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","wage_share_or_wage_share_ingredient","downstream_constructed_pending","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","corporate_boundary_diagnostic | downstream_constructed_pending | S10 registers candidates but current S20B requires a current attachment contract."
"GVAcorp_adj_t","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","Shaikh_adjusted_income | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
"ln_e_CORP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","alternative_distribution_proxy","alternative_proxy_pending","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","alternative_distributive_proxy | alternative_proxy_pending | S10 registers candidates but current S20B requires a current attachment contract."
"ln_e_NFC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","nonfinancial_corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","alternative_distribution_proxy","alternative_proxy_pending","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","alternative_distributive_proxy | alternative_proxy_pending | S10 registers candidates but current S20B requires a current attachment contract."
"NFC_COMP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","nonfinancial_corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","wage_share_or_wage_share_ingredient","staged_source_ingredient","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","income_account_ingredient | staged_source_ingredient | S10 registers candidates but current S20B requires a current attachment contract."
"NFC_PROFITS_IVA_CC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","nonfinancial_corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","profit_share_or_profit_ingredient","staged_source_ingredient","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","income_account_ingredient | staged_source_ingredient | S10 registers candidates but current S20B requires a current attachment contract."
"NOScorp_adj_t","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","Shaikh_adjusted_income | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
"omega_adj_CORP_t","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","preferred_distributive_state_adjusted_variant | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
"omega_CORP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","wage_share_or_wage_share_ingredient","preferred_baseline_pending","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","preferred_distributive_state | preferred_baseline_pending | S10 registers candidates but current S20B requires a current attachment contract."
"omega_NFC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","nonfinancial_corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","wage_share_or_wage_share_ingredient","preferred_baseline_pending","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","preferred_distributive_state | preferred_baseline_pending | S10 registers candidates but current S20B requires a current attachment contract."
"omega_x_Kcap","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","not_declared_or_mixed","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","wage_share_or_wage_share_ingredient","superseded_diagnostic_only","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","superseded_level_interaction | superseded_diagnostic_only | S10 registers candidates but current S20B requires a current attachment contract."
"omega_x_ME","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","not_declared_or_mixed","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","wage_share_or_wage_share_ingredient","superseded_diagnostic_only","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","superseded_level_interaction | superseded_diagnostic_only | S10 registers candidates but current S20B requires a current attachment contract."
"omega_x_ME_NRC_gap","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","not_declared_or_mixed","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","wage_share_or_wage_share_ingredient","superseded_diagnostic_only","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","superseded_level_interaction | superseded_diagnostic_only | S10 registers candidates but current S20B requires a current attachment contract."
"omega_x_NRC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","not_declared_or_mixed","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","wage_share_or_wage_share_ingredient","superseded_diagnostic_only","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","superseded_level_interaction | superseded_diagnostic_only | S10 registers candidates but current S20B requires a current attachment contract."
"pi_adj_res_CORP_t","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","adjusted_residual_profit_share | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
"pi_res_CORP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","profit_share_or_profit_ingredient","downstream_constructed_pending","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","residual_profit_share | downstream_constructed_pending | S10 registers candidates but current S20B requires a current attachment contract."
"pi_res_NFC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","nonfinancial_corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","profit_share_or_profit_ingredient","downstream_constructed_pending","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","residual_profit_share | downstream_constructed_pending | S10 registers candidates but current S20B requires a current attachment contract."
"q_omega_h1_Kcap","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","not_declared_or_mixed","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","wage_share_or_wage_share_ingredient","preferred_baseline_pending","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","preferred_A00_accumulated_index | preferred_baseline_pending | S10 registers candidates but current S20B requires a current attachment contract."
"q_omega_h3_Kcap","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","not_declared_or_mixed","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","wage_share_or_wage_share_ingredient","robustness_pending","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","preferred_A00_accumulated_index_robustness | robustness_pending | S10 registers candidates but current S20B requires a current attachment contract."
"q_omega_h5_Kcap","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","not_declared_or_mixed","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","wage_share_or_wage_share_ingredient","robustness_pending","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","preferred_A00_accumulated_index_robustness | robustness_pending | S10 registers candidates but current S20B requires a current attachment contract."
"VAcorp_adj_t","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","shaikh_adjusted_or_adjustment_candidate","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","Shaikh_adjusted_income | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
