"object_id","object_label","object_type","construction_stage","required_source_family","analytical_role","admissibility_status","blocking_reason","notes"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","GOV_TRANS_highways_streets_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt705","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Live BEA FAAt705 mapping verified on 2026-06-09. Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap."
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","GOV_TRANS_highways_streets_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt701","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap."
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","GOV_TRANS_highways_streets_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt702","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","GOV_TRANS_transportation_structures_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt703","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","GOV_TRANS_transportation_structures_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt705","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Live BEA FAAt705 mapping verified on 2026-06-09. Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","GOV_TRANS_transportation_structures_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt701","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","GOV_TRANS_transportation_structures_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt702","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap."
"NFC__IPP__cfc_current_cost","NFC_intellectual_property_products_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt404","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__IPP__gross_investment_current_cost","NFC_intellectual_property_products_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt407","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__IPP__gross_stock_current_cost","NFC_intellectual_property_products_gross_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","frontier_conditioner","frontier_conditioner_pending","","Provider artifact preserved without construction. Preserve as a required gap. Do not substitute net stock or construct GPIM here."
"NFC__IPP__net_stock_current_cost","NFC_intellectual_property_products_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt401","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__IPP__net_stock_quantity_index","NFC_intellectual_property_products_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt402","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__IPP__official_price_index","NFC_intellectual_property_products_official_price_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","frontier_conditioner","diagnostic_pending","","Provider artifact preserved without construction. Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output."
"NFC__IPP__retirements","NFC_intellectual_property_products_retirements","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","frontier_conditioner","frontier_conditioner_pending","","Provider artifact preserved without construction. Retain as an explicit provider gap; no residual construction is permitted here."
"NFC__IPP__revaluation_holding_gains","NFC_intellectual_property_products_revaluation_holding_gains","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","frontier_conditioner","frontier_conditioner_pending","","Provider artifact preserved without construction. Retain as an explicit provider gap; no residual construction is permitted here."
"CORP__current_transfer_payments","CORP_current_transfer_payments","provider_variable_contract","S00_provider_handoff","BEA:NIPA:not_available","income_account_ingredient","not_in_baseline","Provider contract status: requires_manual_mapping","Provider artifact preserved without construction. Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
"CORP__current_transfer_receipts","CORP_current_transfer_receipts","provider_variable_contract","S00_provider_handoff","BEA:NIPA:not_available","income_account_ingredient","not_in_baseline","Provider contract status: requires_manual_mapping","Provider artifact preserved without construction. Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
"CORP__dividends_paid","CORP_dividends_paid","provider_variable_contract","S00_provider_handoff","BEA:NIPA:not_available","income_account_ingredient","not_in_baseline","Provider contract status: requires_manual_mapping","Provider artifact preserved without construction. Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
"CORP__dividends_received","CORP_dividends_received","provider_variable_contract","S00_provider_handoff","BEA:NIPA:not_available","income_account_ingredient","not_in_baseline","Provider contract status: requires_manual_mapping","Provider artifact preserved without construction. Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
"CORP_AFTER_TAX","CORP_profits_after_tax_IVA_CCAdj","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"CORP_CFC","CORP_consumption_fixed_capital","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"CORP_COMP","CORP_compensation_employees","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"CORP_DIVIDENDS_NET","CORP_net_dividends","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"CORP_GVA","CORP_gross_value_added","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"CORP_NET_INT","CORP_net_interest_misc_payments","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"CORP_NOS","CORP_net_operating_surplus","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"CORP_NVA","CORP_net_value_added","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"CORP_PAT","CORP_profits_after_tax","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"CORP_PBT","CORP_profits_before_tax","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"CORP_PROFITS_IVA_CC","CORP_profits_with_IVA_CCAdj","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"CORP_TAX","CORP_taxes_corporate_income","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"CORP_TRANSFERS_NET","CORP_business_current_transfers_net","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"CORP_UNDISTRIBUTED","CORP_undistributed_profits_IVA_CCAdj","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"FIN__current_transfer_payments","FIN_current_transfer_payments","provider_variable_contract","S00_provider_handoff","BEA:NIPA:not_available","income_account_ingredient","not_in_baseline","Provider contract status: requires_manual_mapping","Provider artifact preserved without construction. Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
"FIN__current_transfer_receipts","FIN_current_transfer_receipts","provider_variable_contract","S00_provider_handoff","BEA:NIPA:not_available","income_account_ingredient","not_in_baseline","Provider contract status: requires_manual_mapping","Provider artifact preserved without construction. Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
"FIN__dividends_paid","FIN_dividends_paid","provider_variable_contract","S00_provider_handoff","BEA:NIPA:not_available","income_account_ingredient","not_in_baseline","Provider contract status: requires_manual_mapping","Provider artifact preserved without construction. Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
"FIN__dividends_received","FIN_dividends_received","provider_variable_contract","S00_provider_handoff","BEA:NIPA:not_available","income_account_ingredient","not_in_baseline","Provider contract status: requires_manual_mapping","Provider artifact preserved without construction. Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
"NFC__current_transfer_payments","NFC_current_transfer_payments","provider_variable_contract","S00_provider_handoff","BEA:NIPA:not_available","income_account_ingredient","not_in_baseline","Provider contract status: requires_manual_mapping","Provider artifact preserved without construction. Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
"NFC__current_transfer_receipts","NFC_current_transfer_receipts","provider_variable_contract","S00_provider_handoff","BEA:NIPA:not_available","income_account_ingredient","not_in_baseline","Provider contract status: requires_manual_mapping","Provider artifact preserved without construction. Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
"NFC__dividends_paid","NFC_dividends_paid","provider_variable_contract","S00_provider_handoff","BEA:NIPA:not_available","income_account_ingredient","not_in_baseline","Provider contract status: requires_manual_mapping","Provider artifact preserved without construction. Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
"NFC__dividends_received","NFC_dividends_received","provider_variable_contract","S00_provider_handoff","BEA:NIPA:not_available","income_account_ingredient","not_in_baseline","Provider contract status: requires_manual_mapping","Provider artifact preserved without construction. Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
"NFC_AFTER_TAX","NFC_profits_after_tax_IVA_CCAdj","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_CFC","NFC_consumption_fixed_capital","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_COMP","NFC_compensation_employees","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_DIVIDENDS_NET","NFC_net_dividends","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_GVA","NFC_gross_value_added","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_NET_INT","NFC_net_interest_misc_payments","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_NOS","NFC_net_operating_surplus","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_NVA","NFC_net_value_added","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_PAT","NFC_profits_after_tax","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_PBT","NFC_profits_before_tax","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_PROFITS_IVA_CC","NFC_profits_with_IVA_CCAdj","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_RETAINED","NFC_undistributed_profits_after_tax","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_TAX","NFC_taxes_corporate_income","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_TRANSFERS_NET","NFC_business_current_transfers_net","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"NFC_UNDISTRIBUTED","NFC_undistributed_profits_IVA_CCAdj","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","income_account_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"DOWNSTREAM__e_adj_CORP","e_adj_CORP","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","Shaikh_adjusted_contract_blocked","blocked_pending_current_release_protocol","Current-release Shaikh-style protocol has not passed; provider contract is not formula-admissible.","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__e_adj_NFC","e_adj_NFC","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","Shaikh_adjusted_contract_blocked","blocked_pending_current_release_protocol","Current-release Shaikh-style protocol has not passed; provider contract is not formula-admissible.","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__ln_e_adj_CORP","ln_e_adj_CORP","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","Shaikh_adjusted_contract_blocked","blocked_pending_current_release_protocol","Current-release Shaikh-style protocol has not passed; provider contract is not formula-admissible.","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__ln_e_adj_NFC","ln_e_adj_NFC","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","Shaikh_adjusted_contract_blocked","blocked_pending_current_release_protocol","Current-release Shaikh-style protocol has not passed; provider contract is not formula-admissible.","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__omega_adj_CORP","omega_adj_CORP","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","Shaikh_adjusted_contract_blocked","blocked_pending_current_release_protocol","Current-release Shaikh-style protocol has not passed; provider contract is not formula-admissible.","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__omega_adj_NFC","omega_adj_NFC","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","Shaikh_adjusted_contract_blocked","blocked_pending_current_release_protocol","Current-release Shaikh-style protocol has not passed; provider contract is not formula-admissible.","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__pi_adj_CORP","pi_adj_CORP","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","Shaikh_adjusted_contract_blocked","blocked_pending_current_release_protocol","Current-release Shaikh-style protocol has not passed; provider contract is not formula-admissible.","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__pi_adj_NFC","pi_adj_NFC","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","Shaikh_adjusted_contract_blocked","blocked_pending_current_release_protocol","Current-release Shaikh-style protocol has not passed; provider contract is not formula-admissible.","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"T711_L28","BankMonIntPaid_received_financial","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T71100","shaikh_candidate_line_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes."
"T711_L4","BankMonIntPaid_paid_financial","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T71100","shaikh_candidate_line_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes."
"T711_L44","BankMonIntPaid_paid_banks_credit_investment","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T71100","shaikh_candidate_line_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes."
"T711_L52","BankMonIntPaid_paid_state_local","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T71100","shaikh_candidate_line_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes."
"T711_L53","CorpNFNetImpIntPaid_line53","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T71100","shaikh_candidate_line_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes."
"T711_L73","BankMonIntPaid_received_federal","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T71100","shaikh_candidate_line_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes."
"T711_L74","CorpNFNetImpIntPaid_line74","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T71100","shaikh_candidate_line_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes."
"T711_L91","BankMonIntPaid_paid_government","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T71100","shaikh_candidate_line_ingredient","staged_source_ingredient","","Provider artifact preserved without construction. Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes."
"DOWNSTREAM__e_x_Kcap","e_x_Kcap","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","superseded_level_interaction","superseded_diagnostic_only","Level interactions must not define A00, generated implementation variables, coefficient promotion, or S40 reconstruction.","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__e_x_ME","e_x_ME","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","superseded_level_interaction","superseded_diagnostic_only","Level interactions must not define A00, generated implementation variables, coefficient promotion, or S40 reconstruction.","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__e_x_ME_NRC_gap","e_x_ME_NRC_gap","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","superseded_level_interaction","superseded_diagnostic_only","Level interactions must not define A00, generated implementation variables, coefficient promotion, or S40 reconstruction.","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__e_x_NRC","e_x_NRC","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","superseded_level_interaction","superseded_diagnostic_only","Level interactions must not define A00, generated implementation variables, coefficient promotion, or S40 reconstruction.","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"ME_NRC_gap","ME-NRC log composition gap","downstream_owned_object","S20_capital_construction","NFC/CORP fixed-assets ME and NRC ingredients","capital_composition_diagnostic","diagnostic_pending","","Registered only; no capital object is constructed in S10."
"ME_share","ME share of ME plus NRC","downstream_owned_object","S20_capital_construction","NFC/CORP fixed-assets ME and NRC ingredients","capital_composition_diagnostic","diagnostic_pending","","Registered only; no capital object is constructed in S10."
"NRC_share","NRC share of ME plus NRC","downstream_owned_object","S20_capital_construction","NFC/CORP fixed-assets ME and NRC ingredients","capital_composition_diagnostic","diagnostic_pending","","Registered only; no capital object is constructed in S10."
"g_K_ME","Growth of machinery and equipment capital","downstream_owned_object","S20_capital_construction","NFC/CORP fixed-assets ME and NRC ingredients","capital_transformation","downstream_constructed_pending","","Registered only; no capital object is constructed in S10."
"g_K_NRC","Growth of nonresidential structures capital","downstream_owned_object","S20_capital_construction","NFC/CORP fixed-assets ME and NRC ingredients","capital_transformation","downstream_constructed_pending","","Registered only; no capital object is constructed in S10."
"g_Kcap","Growth of productive-capacity capital","downstream_owned_object","S20_capital_construction","NFC/CORP fixed-assets ME and NRC ingredients","capital_transformation","downstream_constructed_pending","","Registered only; no capital object is constructed in S10."
"k_Kcap","Log productive-capacity capital","downstream_owned_object","S20_capital_construction","NFC/CORP fixed-assets ME and NRC ingredients","capital_transformation","downstream_constructed_pending","","Registered only; no capital object is constructed in S10."
"k_ME","Log machinery and equipment capital","downstream_owned_object","S20_capital_construction","NFC/CORP fixed-assets ME and NRC ingredients","capital_transformation","downstream_constructed_pending","","Registered only; no capital object is constructed in S10."
"k_NRC","Log nonresidential structures capital","downstream_owned_object","S20_capital_construction","NFC/CORP fixed-assets ME and NRC ingredients","capital_transformation","downstream_constructed_pending","","Registered only; no capital object is constructed in S10."
"K_ME","Real machinery and equipment capital","downstream_owned_object","S20_capital_construction","NFC/CORP fixed-assets ME and NRC ingredients","direct_productive_capacity_capital","downstream_constructed_pending","","ME enters preferred K_cap."
"K_NRC","Real nonresidential structures capital","downstream_owned_object","S20_capital_construction","NFC/CORP fixed-assets ME and NRC ingredients","direct_productive_capacity_capital","downstream_constructed_pending","","NRC enters preferred K_cap."
"K_cap","Preferred productive-capacity capital","downstream_owned_object","S20_capital_construction","NFC/CORP fixed-assets ME and NRC ingredients","preferred_productive_capacity_baseline","preferred_baseline_pending","","Locked identity: K_cap = K_ME + K_NRC."
"pi_adj_res_CORP_t","pi adj res CORP t","downstream_owned_object","S20_current_release_Shaikh_protocol","Protocol-approved adjusted distribution objects","adjusted_residual_profit_share","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance/candidate ingredients only, not formula-admissible inputs.","Registered as blocked; S10 constructs no Shaikh-adjusted variable."
"e_adj_CORP_t","e adj CORP t","downstream_owned_object","S20_current_release_Shaikh_protocol","Protocol-approved adjusted distribution objects","alternative_distributive_proxy_adjusted_variant","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance/candidate ingredients only, not formula-admissible inputs.","Registered as blocked; S10 constructs no Shaikh-adjusted variable."
"omega_adj_CORP_t","omega adj CORP t","downstream_owned_object","S20_current_release_Shaikh_protocol","Protocol-approved adjusted distribution objects","preferred_distributive_state_adjusted_variant","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance/candidate ingredients only, not formula-admissible inputs.","Registered as blocked; S10 constructs no Shaikh-adjusted variable."
"GVAcorp_adj_t","GVAcorp adj t","downstream_owned_object","S20_current_release_Shaikh_protocol","Protocol-approved corporate income-account adjustment","Shaikh_adjusted_income","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance/candidate ingredients only, not formula-admissible inputs.","Registered as blocked; S10 constructs no Shaikh-adjusted variable."
"NOScorp_adj_t","NOScorp adj t","downstream_owned_object","S20_current_release_Shaikh_protocol","Protocol-approved corporate income-account adjustment","Shaikh_adjusted_income","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance/candidate ingredients only, not formula-admissible inputs.","Registered as blocked; S10 constructs no Shaikh-adjusted variable."
"VAcorp_adj_t","VAcorp adj t","downstream_owned_object","S20_current_release_Shaikh_protocol","Protocol-approved corporate income-account adjustment","Shaikh_adjusted_income","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance/candidate ingredients only, not formula-admissible inputs.","Registered as blocked; S10 constructs no Shaikh-adjusted variable."
"BankMonIntPaid_t","BankMonIntPaid t","downstream_owned_object","S20_current_release_Shaikh_protocol","T711 candidate semantic-audit ingredients","Shaikh_style_interest_adjustment","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance/candidate ingredients only, not formula-admissible inputs.","Registered as blocked; S10 constructs no Shaikh-adjusted variable."
"CorpImpIntAdj_t","CorpImpIntAdj t","downstream_owned_object","S20_current_release_Shaikh_protocol","T711 candidate semantic-audit ingredients","Shaikh_style_interest_adjustment","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance/candidate ingredients only, not formula-admissible inputs.","Registered as blocked; S10 constructs no Shaikh-adjusted variable."
"CorpNFNetImpIntPaid_t","CorpNFNetImpIntPaid t","downstream_owned_object","S20_current_release_Shaikh_protocol","T711 candidate semantic-audit ingredients","Shaikh_style_interest_adjustment","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance/candidate ingredients only, not formula-admissible inputs.","Registered as blocked; S10 constructs no Shaikh-adjusted variable."
"e_CORP","e CORP","downstream_owned_object","S20_distribution_construction","Unadjusted corporate/NFC income-account ingredients","alternative_distributive_proxy","alternative_proxy_pending","","Registered only; no distributive variable is constructed in S10."
"e_NFC","e NFC","downstream_owned_object","S20_distribution_construction","Unadjusted corporate/NFC income-account ingredients","alternative_distributive_proxy","alternative_proxy_pending","","Registered only; no distributive variable is constructed in S10."
"ln_e_CORP","ln e CORP","downstream_owned_object","S20_distribution_construction","Unadjusted corporate/NFC income-account ingredients","alternative_distributive_proxy","alternative_proxy_pending","","Registered only; no distributive variable is constructed in S10."
"ln_e_NFC","ln e NFC","downstream_owned_object","S20_distribution_construction","Unadjusted corporate/NFC income-account ingredients","alternative_distributive_proxy","alternative_proxy_pending","","Registered only; no distributive variable is constructed in S10."
