"object_id","classification","permitted_use","prohibited_use","promotion_to_core_capital","model_control_authorized","family_join_authorized","canonical_dataset_authorized","future_review_required"
"CORP__TOTAL__net_stock_quantity_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__TOTAL__cfc_current_cost","DIAGNOSTIC_ONLY","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__TOTAL__gross_investment_current_cost","DIAGNOSTIC_ONLY","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__TOTAL__net_stock_current_cost","DIAGNOSTIC_ONLY","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__TOTAL__net_stock_quantity_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"NFC__TOTAL__cfc_current_cost","DIAGNOSTIC_ONLY","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"NFC__TOTAL__gross_investment_current_cost","DIAGNOSTIC_ONLY","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"NFC__TOTAL__net_stock_current_cost","DIAGNOSTIC_ONLY","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"NFC__TOTAL__net_stock_quantity_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"CORP__TOTAL__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__TOTAL__official_price_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN__TOTAL__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN__TOTAL__official_price_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__TOTAL__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__TOTAL__official_price_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"RESIDENTIAL_CAPITAL_MENU","EXCLUDED_FROM_CHAPTER2_DATASET","exclusion_documentation_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","no"
